LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949406	57451005			1737	Measurement method 2	Method	measure											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949406	57451006			449	Location Region	Region	North West  Mediterranean Basin											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949406	57451007			59	Latitude	Lat	41.8						41.8					Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949406	57451008			60	Longitude	Long	2.1						2.1					Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949406	57451009			7864	Geographic accuracy	Accuracy	Low											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949406	57451010			235	Comments, notes, methods	Comments	f.a. 7 seedlings/ha during the 1st year after fire											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949406	57451012			113	Reference / source	Ref	Rodrigo, A., Retana, J., Pico, F. X. (2004). Direct regeneration is not the only response of Me ...											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949407	57451013			469	Identifier within contributed dataset (ID)	ID	E01405											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949407	57451014			2992	Taxon ID in contributing dataset	TaxonID	3661											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949407	57451015			1737	Measurement method 2	Method	measure											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949407	57451016			449	Location Region	Region	North West  Mediterranean Basin											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949407	57451017			59	Latitude	Lat	41.94						41.94					Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949407	57451018			60	Longitude	Long	1.87						1.87					Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949407	57451019			7864	Geographic accuracy	Accuracy	Low											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949407	57451021			113	Reference / source	Ref	Retana, J., Espelta, J. M., Habrouk, A., Ordonez, J. L., de Sola -Morales, F. (2002). Regenerat ...											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949968	57456366			469	Identifier within contributed dataset (ID)	ID	A00324											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949968	57456367			2992	Taxon ID in contributing dataset	TaxonID	3661											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949968	57456368			1737	Measurement method 2	Method	experience											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949968	57456369			449	Location Region	Region	Unknown											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949968	57456371			113	Reference / source	Ref	Vallejo, V. R., Arianoutsou, M., Moreira, F. (2012). Fire Ecology and Post-Fire Restoration App ...											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Thom	Dominik	662	Thom 2019	Abies balsamea	32	Abies balsamea	6424772	63282574			113	Reference / source	Source	Niinemets and Valladares (2006)											unpub.			
Thom	Dominik	662	Thom 2019	Abies balsamea	32	Abies balsamea	6424788	63282606			113	Reference / source	Source	Niinemets and Valladares (2006)											unpub.			
