Year,Month,Variable,eco1
1971,1,Tmax,-8.131048583984352
1971,2,Tmax,-7.168035888671852
1971,3,Tmax,-7.299810791015602
1971,4,Tmax,3.1840454101562727
1971,5,Tmax,9.586175537109398
1971,6,Tmax,17.668817138671898
1971,7,Tmax,21.351861572265648
1971,8,Tmax,20.680749511718773
1971,9,Tmax,13.820977783203148
1971,10,Tmax,4.241632080078148
1971,11,Tmax,-0.3307250976562272
1971,12,Tmax,-8.673162841796852
1972,1,Tmax,-10.978643798828102
1972,2,Tmax,-10.692358398437475
1972,3,Tmax,-0.7834228515624773
1972,4,Tmax,3.5248657226562727
1972,5,Tmax,12.626458740234398
1972,6,Tmax,16.414605712890648
1972,7,Tmax,24.094628906250023
1972,8,Tmax,21.486932373046898
1972,9,Tmax,14.963067626953148
1972,10,Tmax,7.427484130859398
1972,11,Tmax,-2.2567504882812277
1972,12,Tmax,-4.954534912109352
1973,1,Tmax,-6.722570800781227
1973,2,Tmax,-5.825781249999977
1973,3,Tmax,-5.617926025390602
1973,4,Tmax,2.9352050781250227
1973,5,Tmax,11.803430175781273
1973,6,Tmax,16.675836181640648
1973,7,Tmax,22.427941894531276
1973,8,Tmax,21.010125732421898
1973,9,Tmax,14.486230468750025
1973,10,Tmax,5.200189208984398
1973,11,Tmax,-1.3494323730468525
1973,12,Tmax,-4.716711425781227
1974,1,Tmax,-6.727941894531227
1974,2,Tmax,-8.422949218749977
1974,3,Tmax,-0.8073181152343523
1974,4,Tmax,5.232965087890648
1974,5,Tmax,11.022760009765648
1974,6,Tmax,15.384881591796898
1974,7,Tmax,22.405236816406276
1974,8,Tmax,20.403833007812523
1974,9,Tmax,14.713769531250025
1974,10,Tmax,5.339471435546898
1974,11,Tmax,0.5569396972656477
1974,12,Tmax,-2.5945190429687277
1975,1,Tmax,-4.930181884765602
1975,2,Tmax,-6.309881591796852
1975,3,Tmax,-2.9891723632812277
1975,4,Tmax,3.903375244140648
1975,5,Tmax,10.165063476562525
1975,6,Tmax,19.458612060546898
1975,7,Tmax,21.094140625000023
1975,8,Tmax,22.413903808593773
1975,9,Tmax,15.700433349609398
1975,10,Tmax,8.587823486328148
1975,11,Tmax,-0.6090454101562273
1975,12,Tmax,-9.174810791015602
1976,1,Tmax,-10.967657470703102
1976,2,Tmax,-5.641821289062477
1976,3,Tmax,-2.2010253906249773
1976,4,Tmax,4.622460937500023
1976,5,Tmax,10.934960937500025
1976,6,Tmax,18.213067626953148
1976,7,Tmax,22.330346679687523
1976,8,Tmax,20.178643798828148
1976,9,Tmax,16.585015869140648
1976,10,Tmax,8.265740966796898
1976,11,Tmax,0.3160644531250227
1976,12,Tmax,-7.953833007812477
1977,1,Tmax,-9.373083496093727
1977,2,Tmax,-9.227728271484352
1977,3,Tmax,-4.530859374999977
1977,4,Tmax,3.4876342773437727
1977,5,Tmax,11.722650146484398
1977,6,Tmax,16.327539062500023
1977,7,Tmax,21.519708251953148
1977,8,Tmax,21.091821289062523
1977,9,Tmax,16.114739990234398
1977,10,Tmax,4.007775878906273
1977,11,Tmax,-0.3056701660156022
1977,12,Tmax,-7.883154296874977
1978,1,Tmax,-12.042547607421852
1978,2,Tmax,-11.117224121093727
1978,3,Tmax,0.1781860351562727
1978,4,Tmax,7.227349853515648
1978,5,Tmax,14.746057128906273
1978,6,Tmax,19.4272399902344
1978,7,Tmax,22.755426025390648
1978,8,Tmax,22.562768554687523
1978,9,Tmax,16.529077148437523
1978,10,Tmax,8.691979980468773
1978,11,Tmax,0.5262695312500227
1978,12,Tmax,-3.866522216796852
1979,1,Tmax,-9.482153320312475
1979,2,Tmax,-14.822515869140602
