Year,Month,Variable,eco1
1970,10,PAR,370.08552466270027
1970,11,PAR,236.36103922873775
1970,12,PAR,193.6771259877535
1971,1,PAR,244.610065993255
1971,2,PAR,407.4886174985403
1971,3,PAR,645.0354095284299
1971,4,PAR,855.8979722474826
1971,5,PAR,956.658037084818
1971,6,PAR,997.7942646373551
1971,7,PAR,997.7786953835861
1971,8,PAR,862.5692780577073
1971,9,PAR,631.5694744931035
1971,10,PAR,370.08552466270027
1971,11,PAR,236.36103922873775
1971,12,PAR,193.6771259877535
1972,1,PAR,244.610065993255
1972,2,PAR,407.4886174985403
1972,3,PAR,645.0354095284299
1972,4,PAR,855.8979722474826
1972,5,PAR,956.658037084818
1972,6,PAR,997.7942646373551
1972,7,PAR,997.7786953835861
1972,8,PAR,862.5692780577073
1972,9,PAR,631.5694744931035
1972,10,PAR,370.08552466270027
1972,11,PAR,236.36103922873775
1972,12,PAR,193.6771259877535
1973,1,PAR,244.610065993255
1973,2,PAR,407.4886174985403
1973,3,PAR,645.0354095284299
1973,4,PAR,855.8979722474826
1973,5,PAR,956.658037084818
1973,6,PAR,997.7942646373551
1973,7,PAR,997.7786953835861
1973,8,PAR,862.5692780577073
1973,9,PAR,631.5694744931035
1973,10,PAR,370.08552466270027
1973,11,PAR,236.36103922873775
1973,12,PAR,193.6771259877535
1974,1,PAR,244.610065993255
1974,2,PAR,407.4886174985403
1974,3,PAR,645.0354095284299
1974,4,PAR,855.8979722474826
1974,5,PAR,956.658037084818
1974,6,PAR,997.7942646373551
1974,7,PAR,997.7786953835861
1974,8,PAR,862.5692780577073
1974,9,PAR,631.5694744931035
1974,10,PAR,370.08552466270027
1974,11,PAR,236.36103922873775
1974,12,PAR,193.6771259877535
1975,1,PAR,244.610065993255
1975,2,PAR,407.4886174985403
1975,3,PAR,645.0354095284299
1975,4,PAR,855.8979722474826
1975,5,PAR,956.658037084818
1975,6,PAR,997.7942646373551
1975,7,PAR,997.7786953835861
1975,8,PAR,862.5692780577073
1975,9,PAR,631.5694744931035
1975,10,PAR,370.08552466270027
1975,11,PAR,236.36103922873775
1975,12,PAR,193.6771259877535
1976,1,PAR,244.610065993255
1976,2,PAR,407.4886174985403
1976,3,PAR,645.0354095284299
1976,4,PAR,855.8979722474826
1976,5,PAR,956.658037084818
1976,6,PAR,997.7942646373551
1976,7,PAR,997.7786953835861
1976,8,PAR,862.5692780577073
1976,9,PAR,631.5694744931035
1976,10,PAR,370.08552466270027
1976,11,PAR,236.36103922873775
1976,12,PAR,193.6771259877535
1977,1,PAR,244.610065993255
1977,2,PAR,407.4886174985403
1977,3,PAR,645.0354095284299
1977,4,PAR,855.8979722474826
1977,5,PAR,956.658037084818
1977,6,PAR,997.7942646373551
1977,7,PAR,997.7786953835861
1977,8,PAR,862.5692780577073
1977,9,PAR,631.5694744931035
1977,10,PAR,370.08552466270027
1977,11,PAR,236.36103922873775
1977,12,PAR,193.6771259877535
1978,1,PAR,244.610065993255
1978,2,PAR,407.4886174985403
1978,3,PAR,645.0354095284299
1978,4,PAR,855.8979722474826
1978,5,PAR,956.658037084818
1978,6,PAR,997.7942646373551
1978,7,PAR,997.7786953835861
1978,8,PAR,862.5692780577073
1978,9,PAR,631.5694744931035
1978,10,PAR,370.08552466270027
1978,11,PAR,236.36103922873775
1978,12,PAR,193.6771259877535
1979,1,PAR,244.610065993255
1979,2,PAR,407.4886174985403
1979,3,PAR,645.0354095284299
1979,4,PAR,855.8979722474826
1979,5,PAR,956.658037084818
1979,6,PAR,997.7942646373551
1979,7,PAR,997.7786953835861
1979,8,PAR,862.5692780577073
1979,9,PAR,631.5694744931035
1979,10,PAR,370.08552466270027
1979,11,PAR,236.36103922873775
1979,12,PAR,193.6771259877535
1980,1,PAR,244.610065993255
1980,2,PAR,407.4886174985403
1980,3,PAR,645.0354095284299
1980,4,PAR,855.8979722474826
1980,5,PAR,956.658037084818
1980,6,PAR,997.7942646373551
1980,7,PAR,997.7786953835861
1980,8,PAR,862.5692780577073
1980,9,PAR,631.5694744931035
1980,10,PAR,370.08552466270027
1980,11,PAR,236.36103922873775
1980,12,PAR,193.6771259877535
1981,1,PAR,244.610065993255
1981,2,PAR,407.4886174985403
1981,3,PAR,645.0354095284299
1981,4,PAR,855.8979722474826
1981,5,PAR,956.658037084818
1981,6,PAR,997.7942646373551
1981,7,PAR,997.7786953835861
1981,8,PAR,862.5692780577073
1981,9,PAR,631.5694744931035
1981,10,PAR,370.08552466270027
1981,11,PAR,236.36103922873775
1981,12,PAR,193.6771259877535
1982,1,PAR,244.610065993255
1982,2,PAR,407.4886174985403
1982,3,PAR,645.0354095284299
1982,4,PAR,855.8979722474826
1982,5,PAR,956.658037084818
1982,6,PAR,997.7942646373551
1982,7,PAR,997.7786953835861
1982,8,PAR,862.5692780577073
1982,9,PAR,631.5694744931035
